algorithm;fitness_alignments;fitness_token_based;precision_alignments;precision_token_based;generalization
alpha;0.514696241;0.410589875;0.782608696;0.782608696;0.958754717
inductive;0.999925748;1;0.821500272;0.821500272;0.953098064
heuristics;0.456102571;0.694564814;0.895155998;0.756451138;0.846487972
ilp;0.999971082;1;0.701775247;0.701775247;0.961857029
