algorithm,fitness_alignments,fitness_token_based,precision_alignments,precision_token_based,generalization
alpha,0.37353400484110255,0.43192203340508273,0.2474522575933883,0.2474522575933883,0.992461341403473
inductive,1.0,1.0,,0.4138973870147943,0.9861928331816715
heuristics,0.9523574511201565,0.9744839826179913,0.5140922783262251,0.5187745755306807,0.9790271922291589
ilp,0.999989214552807,1.0,0.3332839215533556,0.3332839215533556,0.9923847347772831
