algorithm;fitness_alignments;fitness_token_based;precision_alignments;precision_token_based;generalization
alpha;0.170343224;0.8684153;0.993683475;0.993683475;0.978192979
inductive;0.999951701;1;0.994009166;0.994009166;0.979588305
heuristics;0.1200504;0.819892146;0.992383916;0.957361863;0.882584602
ilp;0.99997585;1;0.994009166;0.994009166;0.979162773
