algorithm;fitness_alignments;fitness_token_based;precision_alignments;precision_token_based;generalization
alpha;;0.733435509;;0.382065852;0.981485773
inductive;0.999974029;1;0.553646381;0.553646381;0.980222417
heuristics;0.376214777;0.831411279;0.994733181;0.987334024;0.860876406
ilp;0.999991271;1;0.422792878;0.422792878;0.981534428
