algorithm;fitness_alignments;fitness_token_based;precision_alignments;precision_token_based;generalization
alpha;0.442610653;0.329422383;0.577121771;0.577121771;0.939900635
inductive;0.999713882;1;0.356077068;0.356077068;0.900645082
heuristics;0.99993376;1;0.665223275;0.665223275;0.898051205
ilp;0.999968276;1;0.356077068;0.356077068;0.941839878
