algorithm;fitness_alignments;fitness_token_based;precision_alignments;precision_token_based;generalization
alpha;0.56765999;0.548300053;0;0;0.965912701
inductive;0.999887182;1;0.597046083;0.597046083;0.959411652
heuristics;0.594380763;0.98026542;0.938369781;0.640365575;0.953830359
ilp;0.999991767;1;0.24786047;0.24786047;0.962721341
