algorithm;fitness_alignments;fitness_token_based;precision_alignments;precision_token_based;generalization
alpha;0.117647059;0.806521739;0.605809129;0.605809129;0.877830556
inductive;0.999990625;1;0.382398453;0.382398453;0.877830556
heuristics;0.209831953;0.762022012;0.647873393;0.670466321;0.706678881
ilp;0.99999375;1;0.381365741;0.381365741;0.877830556
