algorithm;fitness_alignments;fitness_token_based;precision_alignments;precision_token_based;generalization
alpha;0.157894737;0.801411387;0.588855686;0.588855686;0.932824621
inductive;0.999991667;1;0.289716795;0.289716795;0.933497406
heuristics;0.157899169;0.709811191;0.736758893;0.768929869;0.849240353
ilp;0.999994444;1;0.31714191;0.31714191;0.933293532
