algorithm,fitness_alignments,fitness_token_based,precision_alignments,precision_token_based,generalization
alpha,0.09523809523809523,0.8466386554621849,0.9213535541948826,0.9213535541948826,0.9899984996624156
inductive,0.9999925000562496,1.0,0.48297417071464066,0.48297417071464066,0.9899984996624156
heuristics,,0.853587962962963,0.9333084513284657,0.8765645072490366,0.9899984996624156
ilp,0.9999950000249999,1.0,0.4892947258545727,0.4892947258545727,0.9899984996624156
