algorithm;fitness_alignments;fitness_token_based;precision_alignments;precision_token_based;generalization
alpha;0.874275435;0.856195702;0.591032386;0.591032386;0.986682802
inductive;0.999924938;1;1;1;0.98724364
heuristics;0.497684337;0.798620579;1;0.664790327;0.985828072
ilp;0.999950027;1;0.888316761;0.888316761;0.987630716
