algorithm;fitness_alignments;fitness_token_based;precision_alignments;precision_token_based;generalization
alpha;0.619738487;0.514081281;0.327698646;0.327698646;0.995829617
inductive;0.999883991;1;0.691252354;0.691252354;0.995202254
heuristics;0.976251895;0.988262568;0.565538134;0.565538134;0.990866106
ilp;0.999982649;1;0.436657135;0.436657135;0.99576256
