algorithm;fitness_alignments;fitness_token_based;precision_alignments;precision_token_based;generalization
alpha;0.619886431;0.514121032;0.326854307;0.326854307;0.995338541
inductive;0.999884068;1;0.68645533;0.68645533;0.994633205
heuristics;0.976271937;0.988280457;0.561901181;0.561901181;0.989808942
ilp;0.999982643;1;0.433623356;0.433623356;0.995263309
