algorithm;fitness_alignments;fitness_token_based;precision_alignments;precision_token_based;generalization
alpha;0.765916319;0.771992563;0.348305792;0.348305792;0.974046179
inductive;0.999897354;1;0.975166705;0.975166705;0.969888307
heuristics;0.483852164;0.842611258;0.95335277;0.655310621;0.963256254
ilp;0.999951078;1;0.492438097;0.492438097;0.976543183
