algorithm;fitness_alignments;fitness_token_based;precision_alignments;precision_token_based;generalization
alpha;0.674414125;0.869484182;0.98663184;0.98663184;0.965038967
inductive;0.999905206;1;0.987550487;0.987550487;0.969416865
heuristics;0.225437493;0.710622603;0.994549317;0.840954274;0.891056625
ilp;0.999946051;1;0.987550487;0.987550487;0.967444175
