algorithm;fitness_alignments;fitness_token_based;precision_alignments;precision_token_based;generalization
alpha;;0.781908593;;0.373031419;0.933830043
inductive;0.999936771;1;0.784382284;0.784382284;0.936671092
heuristics;0.319401818;0.956327876;0.737738771;0.776417449;0.853696409
ilp;0.999977932;1;0.665258807;0.665258807;0.936486959
