algorithm;fitness_alignments;fitness_token_based;precision_alignments;precision_token_based;generalization
alpha;0.222222222;0.837643678;0.941195709;0.941195709;0.988446482
inductive;0.999991177;1;0.575886732;0.575886732;0.988519102
heuristics;0.3;0.830782162;0.964070703;0.937197437;0.984968579
ilp;0.999994118;1;0.575886732;0.575886732;0.988497316
