algorithm;fitness_alignments;fitness_token_based;precision_alignments;precision_token_based;generalization
alpha;0.874430481;0.856398511;0.591046681;0.591046681;0.986669184
inductive;0.999924901;1;1;1;0.987232218
heuristics;0.4977803;0.798586289;1;0.665153538;0.985816673
ilp;0.999950005;1;0.888439126;0.888439126;0.987618844
