algorithm,fitness_alignments,fitness_token_based,precision_alignments,precision_token_based,generalization
alpha,0.6194424464020509,0.514292415094689,0.33081172679600945,0.33081172679600945,0.9970494698496859
inductive,0.99988394387406,1.0,0.7072040574962702,0.7072040574962702,0.9966072545206288
heuristics,0.9763960020485748,0.9883217874581659,0.5781391230357231,0.5781391230357231,0.9935340624785073
ilp,0.9999826455022782,1.0,0.44664480653997873,0.44664480653997873,0.997002414847496
