algorithm,fitness_alignments,fitness_token_based,precision_alignments,precision_token_based,generalization
alpha,0.11419897659691791,0.7919718568498946,0.9510183352888639,0.9510183352888639,0.9895724588765776
inductive,0.9999923517886947,1.0,0.4149412147814465,0.4149412147814465,0.989387224615282
heuristics,,0.7155811253921549,,0.9527166694960106,0.9369355779675346
ilp,0.9999938487074458,1.0,0.5775253499897903,0.5775253499897903,0.9895974319062084
