algorithm;fitness_alignments;fitness_token_based;precision_alignments;precision_token_based;generalization
alpha;0.445359894;0.445359894;1;1;0.97401253
inductive;0.999963971;1;0.931281182;0.931281182;0.974458187
heuristics;0.304920703;0.753730754;1;0.736840076;0.982272401
ilp;0.99997377;1;0.903325988;0.903325988;0.975686237
