algorithm;fitness_alignments;fitness_token_based;precision_alignments;precision_token_based;generalization
alpha;;0.774191841;;0.44249597;0.984038479
inductive;0.999907354;1;0.697492885;0.697492885;0.981984781
heuristics;0.386588788;0.915097336;0.999645746;0.976704072;0.908232428
ilp;0.999975327;1;0.806953477;0.806953477;0.984592733
