algorithm;fitness_alignments;fitness_token_based;precision_alignments;precision_token_based;generalization
alpha;0.619075745;0.514132976;0.329803374;0.329803374;0.996701033
inductive;0.999883953;1;0.702206988;0.702206988;0.996206022
heuristics;0.976408997;0.988332453;0.574321587;0.574321587;0.992775092
ilp;0.999982636;1;0.44348091;0.44348091;0.996648462
