algorithm;fitness_alignments;fitness_token_based;precision_alignments;precision_token_based;generalization
alpha;0.38463595;0.436186626;0.317102412;0.317102412;0.969408834
inductive;0.999910768;1;0.495081553;0.495081553;0.942387661
heuristics;0.822866394;0.893216603;0.692224119;0.692224119;0.908383804
ilp;0.999986656;1;0.413779985;0.413779985;0.968722929
