algorithm;fitness_alignments;fitness_token_based;precision_alignments;precision_token_based;generalization
alpha;0.568870523;0.846456693;0.350604491;0.350604491;0.741564476
inductive;0.999933996;1;0.974683544;0.974683544;0.76395161
heuristics;0.999968422;1;0.974683544;0.974683544;0.723904549
ilp;0.999960528;1;0.798962387;0.798962387;0.760692759
