algorithm;fitness_alignments;fitness_token_based;precision_alignments;precision_token_based;generalization
alpha;0.403122901;0.428044374;1;1;0.972174243
inductive;0.999937955;1;0.887104334;0.887104334;0.973074543
heuristics;0.101800052;0.486827113;1;0.708364457;0.965134004
ilp;0.999966451;1;0.797145223;0.797145223;0.974061667
