algorithm;fitness_alignments;fitness_token_based;precision_alignments;precision_token_based;generalization
alpha;0.749050053;0.686162583;0.573908084;0.573908084;0.980584272
inductive;0.999886951;1;0.882696544;0.882696544;0.982605803
heuristics;0.052557947;0.166744877;1;0.518474362;0.972362008
ilp;0.9999468;1;0.599888708;0.599888708;0.98205795
